age,annual_income,loan_amount,credit_score,repayment_history,transaction_count,spending_ratio,default_flag,join_year,join_month,join_day,join_weekday,education_level_encoded,region_East,region_North,region_South,region_West,loan_purpose_Business,loan_purpose_Car,loan_purpose_Education,loan_purpose_Home,loan_purpose_Other,income_group,high_credit_score,income_quantile,debt_to_income_ratio,average_monthly_transactions
1.2363792588915894,0.41361749386198754,0.5687656921225627,-1.0074205966777672,0.8166208630997669,-0.2819437922318195,0.5558570360628594,0,2025,6,15,6,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Very High,0,High,0.9812907673966063,7.166666666666667
0.4409731479217041,0.10890120750493004,-0.5421908753301397,-0.8700064697558723,-1.25251983732194,0.17675001291756115,-0.3647284556598684,0,2022,12,19,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,High,0,Medium-High,0.2147037378953014,7.666666666666667
-0.6725954074361352,1.4469434317455951,-0.6613712769555994,0.31773762469930683,-0.5628062705147042,-0.5877396623314065,-1.6059305613110622,0,2020,7,21,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Very High,1,High,0.04457651922335291,6.833333333333333
1.5545417032795434,-0.44931730854937396,-0.41235292892298797,-0.024517763161141667,0.8166208630997669,0.3296479479673547,-0.02736759560473368,0,2025,7,25,4,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium,0,Low,0.7262405733995372,7.833333333333333
-1.229379685115055,0.2235567996641961,0.37354883727061755,-3.6149317374223555,0.8166208630997669,0.48254588301714824,1.1156263339016352,0,2019,8,31,5,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Very High,0,High,0.9755779088679434,8.0
-0.19535174085420406,-0.5155462141929581,-0.6160501021315941,0.8060387353972819,0.1269072962925313,2.317321103614671,0.7355744641855724,0,2019,4,28,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Medium,1,Low,0.36024264961241986,10.0
1.2363792588915894,-0.6330385498324992,-0.5440135605272963,0.8039941234298128,-0.5628062705147042,-1.5051272726301679,-0.10619749393927373,0,2021,5,31,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Low,1,Low,0.7367757150610262,5.833333333333333
-0.3544329630481811,-0.6952830752587007,7.2273369505393825,0.2885051435217341,1.5063344299070027,0.02385207786776761,0.9484828153539027,0,2022,11,8,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Low,0,Low,33.03813765495838,7.5
-0.03627051866022701,0.05149855719626868,2.3332711817071816,-0.9129656289996223,2.885761563521474,-0.2819437922318195,0.12938046926109334,1,2023,12,5,1,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,High,0,Medium-High,3.1115840345415466,7.166666666666667
-0.9907578518240893,-0.12301388216980258,-0.5703242832487727,0.3495538641382219,0.1269072962925313,1.85862729846529,0.8216256101797156,0,2018,7,11,2,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,High,1,Medium-High,0.24176011597104197,9.5
-0.9907578518240893,-0.37112864575418736,-0.5756288745556264,0.09314879134799338,-1.25251983732194,0.48254588301714824,-1.497180269164219,1,2025,10,6,0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Medium,0,Medium-Low,0.3388829326684072,8.0
0.04327009243676151,-0.6581679935333611,-0.1180573378645873,-1.0857245856319,0.8166208630997669,-1.9638210777795484,-1.1357500488638603,0,2025,4,19,5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Low,0,Low,2.3274923927307043,5.333333333333333
0.9977574256006237,-0.43297245039986476,0.4241921468352484,0.05697364822193916,-1.25251983732194,0.02385207786776761,0.6003847110371615,0,2023,7,11,1,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Medium,0,Low,2.351985752121474,7.5
1.315919869988578,-0.19958477705169406,-0.43707023461112754,1.1114066661484685,-1.25251983732194,-2.2696169478791357,1.3113014095303983,1,2025,1,7,1,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,High,1,Medium-Low,0.4462637951008598,5.0
0.04327009243676151,0.19988696031286385,-0.6036998360383838,-1.0913802655568794,-1.25251983732194,0.02385207786776761,0.3268613447145608,0,2018,11,3,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Very High,0,High,0.14385580415352214,7.5
0.04327009243676151,-0.2078782341308221,-0.07329453789028542,-0.5948652300733219,-1.25251983732194,-1.1993314025305808,-0.4756445400195917,0,2019,6,16,6,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,High,0,Medium-Low,0.9464797881475592,6.166666666666667
-0.11581112975721553,-0.09216855108234441,0.020687778261422846,-0.5087274951829469,1.5063344299070027,-0.2819437922318195,-0.7855265764313156,0,2018,5,2,2,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,High,0,Medium-High,0.926844947111097,7.166666666666667
